Time(s),VOLT 1,VOLT 2,VOLT 3,VOLT 4,VOLT 5,VOLT 6,VOLT 7,VOLT 8,VOLT 9
-0.008332,1.024515545,1.031074956,1.015422002,1.018553338,1.029073475,1.01815188,1.026513334,1.02665141,1.030104276
6.91452E-06,1.022255048,1.01733399,1.016195069,1.024185188,1.033537011,1.019891917,1.029679252,1.023556426,1.026905411
0.008345829,1.02393229,1.021977702,1.024859499,1.025744841,1.029147159,1.018988606,1.037897384,1.027535595,1.028346581
0.016684744,1.02811186,1.026101026,1.02770853,1.018509861,1.023029097,1.024739731,1.017763002,1.017105448,1.024686208
0.025023658,1.026567935,1.018858527,1.028734558,1.026572171,1.029579477,1.022972393,1.022684266,1.021474948,1.022487808
0.033362573,1.024909543,1.026466108,1.015335488,1.021752709,1.018466311,1.027652657,1.026102453,1.029376727,1.027844413
0.041701487,1.015817719,1.023376542,1.028622682,1.023177137,1.026247685,1.021219331,1.022745274,1.032007556,1.024029906
0.050040402,1.021794063,1.022878958,1.023419219,1.019864728,1.020432886,1.024266242,1.029617561,1.033913915,1.028895887
0.058379316,1.022162251,1.022257843,1.027566194,1.02910262,1.019637316,1.025687127,1.020173416,1.034615831,1.028745325
0.066718231,1.022780925,1.028977367,1.019852813,1.029142169,1.022212285,1.016691871,1.031336109,1.030000721,1.020914108
0.075057145,1.027681291,1.028764379,1.030998461,1.024498224,1.027843383,1.029401963,1.025163405,1.019563476,1.021549353
0.08339606,1.021973438,1.03058672,1.02134786,1.028405608,1.024058241,1.025780209,1.019016085,1.022952119,1.029907946
0.091734974,1.029116774,1.028919529,1.03499089,1.029258368,1.029248075,1.020458585,1.021311816,1.02554251,1.028776531
0.100073889,1.021558829,1.022751728,1.024459533,1.021523632,1.023474374,1.023369069,1.029545231,1.022666217,1.020265903
0.108412803,1.019982413,1.025566365,1.027515323,1.015610154,1.030192283,1.03191753,1.026581894,1.032240437,1.023315529
0.116751718,1.020832813,1.0192592,1.024477634,1.022057124,1.024921197,1.021505585,1.024053309,1.030528919,1.020038872
0.125090632,1.020314808,1.025875444,1.025314598,1.013936344,1.018486827,1.021277353,1.022986821,1.022135868,1.022437453
0.133429547,1.028504808,1.021388601,1.027693739,1.017361487,1.019738677,1.029123077,1.027283309,1.022075706,1.03020627
0.141768461,1.025879205,1.018011446,1.016502832,1.020469521,1.028280299,1.030503174,1.018922313,1.021391332,1.01896159
0.150107376,1.025469392,1.021793053,1.028891414,1.028448959,1.032939102,1.023412728,1.021047976,1.024634062,1.028931973
0.15844629,1.024994924,1.023784776,1.028411589,1.021683071,1.020800659,1.030543545,1.032220067,1.02810195,1.013549538
0.166785205,1.018112102,1.034955065,1.019595662,1.02822879,1.024806255,1.011105666,1.026364679,1.028488354,1.021264921
0.17512412,1.01904229,1.028110803,1.015510403,1.023459315,1.024242769,1.023291954,1.027694629,1.030654751,1.017758868
0.183463034,1.020829202,1.026443223,1.025944201,1.027077225,1.020814607,1.020680381,1.026798303,1.029047519,1.023091773
0.191801949,1.014844828,1.0241745,1.021382331,1.019468826,1.025599043,1.02515909,1.019966516,1.022297395,1.031637681
0.200140863,1.028190683,1.029252122,1.028880036,1.031410946,1.022957027,1.034663097,1.025844379,1.024294519,1.025078964
